"Variable","Group1","Group2","p_value","p_adj_bonferroni",".y.","effsize","n1","n2","magnitude"
"pvt_reaction_time","no self-reported CD_c1","no self-reported CD_c2",0.00624522592123449,0.0374713555274069,"pvt_reaction_time",0.531387427553637,8,19,"large"
"pvt_reaction_time","self-reported CD_c1","no self-reported CD_c2",2.22634591519013e-06,1.33580754911408e-05,"pvt_reaction_time",0.657487947236378,33,19,"large"
"pvt_reaction_time","self-reported CD_c1","self-reported CD_c2",0.00022065369971616,0.00132392219829696,"pvt_reaction_time",0.565539309636211,33,10,"large"
"nback_miss_1","no self-reported CD_c1","no self-reported CD_c2",0.00371713855599881,0.0223028313359929,"nback_miss_1",0.563509693210423,8,19,"large"
"nback_miss_1","self-reported CD_c1","no self-reported CD_c2",2.17673991405789e-06,1.30604394843473e-05,"nback_miss_1",0.658125761396877,33,19,"large"
"nback_miss_1","no self-reported CD_c2","self-reported CD_c2",0.000891672966974232,0.00535003780184539,"nback_miss_1",0.621314965516977,19,10,"large"
"nback_miss_2","no self-reported CD_c1","no self-reported CD_c2",0.00334696450384668,0.0200817870230801,"nback_miss_2",0.569768720263682,8,19,"large"
"nback_miss_2","self-reported CD_c1","no self-reported CD_c2",1.84852961177025e-05,0.000110911776706215,"nback_miss_2",0.595190560850615,33,19,"large"
"nback_miss_2","self-reported CD_c1","self-reported CD_c2",0.00277406454306508,0.0166443872583905,"nback_miss_2",0.458437741772199,33,10,"moderate"
"tmt_a_time","self-reported CD_c1","no self-reported CD_c2",4.30688414047283e-07,2.5841304842837e-06,"tmt_a_time",0.702301715155942,33,19,"large"
"tmt_a_time","self-reported CD_c1","self-reported CD_c2",6.06305967970981e-05,0.000363783580782589,"tmt_a_time",0.613763591853252,33,10,"large"
"tmt_b_time","self-reported CD_c1","no self-reported CD_c2",0.000328729559288572,0.00197237735573143,"tmt_b_time",0.499374613231638,33,19,"moderate"
"tmt_b_time","self-reported CD_c1","self-reported CD_c2",0.00529267243273355,0.0317560345964013,"tmt_b_time",0.427458639596261,33,10,"moderate"
