"Variable","Group1","Group2","p_value","p_adj_bonferroni",".y.","effsize","n1","n2","magnitude"
"pvt_reaction_time","1","2",6.08768852233173e-08,3.65261311339904e-07,"pvt_reaction_time",0.800253720557868,17,29,"large"
"pvt_reaction_time","1","3",2.71008925705784e-05,0.00016260535542347,"pvt_reaction_time",0.733661288635483,17,16,"large"
"pvt_reaction_time","2","4",2.03288437656121e-05,0.000121973062593673,"pvt_reaction_time",0.703577527445697,29,8,"large"
"pvt_reaction_time","3","4",0.000100838679582462,0.00060503207749477,"pvt_reaction_time",0.8,16,8,"large"
"nback_miss_1","1","2",0.000177145802850169,0.00106287481710101,"nback_miss_1",0.554527811515154,17,29,"large"
"nback_miss_1","2","4",0.000363370257130631,0.00218022154278379,"nback_miss_1",0.589192822992121,29,8,"large"
"nback_miss_2","1","2",0.00181957582711165,0.0109174549626699,"nback_miss_2",0.461437993553734,17,29,"moderate"
"nback_miss_2","2","3",3.9098107473731e-05,0.000234588644842386,"nback_miss_2",0.614863865631729,29,16,"large"
"nback_miss_2","2","4",0.000251047896871837,0.00150628738123102,"nback_miss_2",0.604935569914891,29,8,"large"
"tmt_a_time","1","2",0.00020764194863366,0.00124585169180196,"tmt_a_time",0.548618524442335,17,29,"large"
"tmt_a_time","1","4",0.00222524878808072,0.0133514927284843,"tmt_a_time",0.617504831717591,17,8,"large"
"tmt_a_time","2","3",2.11051479424291e-06,1.26630887654574e-05,"tmt_a_time",0.708744086803529,29,16,"large"
"tmt_a_time","2","4",2.81785203949623e-05,0.000169071122369774,"tmt_a_time",0.691487865980241,29,8,"large"
"tmt_b_time","1","3",0.000444520415863258,0.00266712249517955,"tmt_b_time",0.614519711848524,17,16,"large"
"tmt_b_time","1","4",0.000171647722208893,0.00102988633325336,"tmt_b_time",0.757317246446102,17,8,"large"
"tmt_b_time","2","3",9.7732402256857e-06,5.86394413541142e-05,"tmt_b_time",0.660979616155834,29,16,"large"
"tmt_b_time","2","4",3.3165369072453e-05,0.000198992214434718,"tmt_b_time",0.685381556908308,29,8,"large"
"tmt_diff","1","4",0.000424382188633092,0.00254629313179855,"tmt_diff",0.710713108203265,17,8,"large"
"tmt_diff","2","4",0.00109420743386476,0.00656524460318856,"tmt_diff",0.539813792609198,29,8,"large"
