"Variable","Group1","Group2","p_value","p_adj_bonferroni",".y.","effsize","n1","n2","magnitude"
"pvt_reaction_time","no self-reported CD_c1","self-reported CD_c1",0.564812747506602,1,"pvt_reaction_time",0.0924793122085666,8,33,"small"
"pvt_reaction_time","no self-reported CD_c1","no self-reported CD_c2",0.00624522592123449,0.0374713555274069,"pvt_reaction_time",0.531387427553637,8,19,"large"
"pvt_reaction_time","no self-reported CD_c1","self-reported CD_c2",0.0294893633844076,0.176936180306445,"pvt_reaction_time",0.523567385364619,8,10,"large"
"pvt_reaction_time","self-reported CD_c1","no self-reported CD_c2",2.22634591519013e-06,1.33580754911408e-05,"pvt_reaction_time",0.657487947236378,33,19,"large"
"pvt_reaction_time","self-reported CD_c1","self-reported CD_c2",0.00022065369971616,0.00132392219829696,"pvt_reaction_time",0.565539309636211,33,10,"large"
"pvt_reaction_time","no self-reported CD_c2","self-reported CD_c2",0.476967263539285,1,"pvt_reaction_time",0.136324583309538,19,10,"small"
"nback_miss_1","no self-reported CD_c1","self-reported CD_c1",0.108618811031419,0.651712866188511,"nback_miss_1",0.253153415486985,8,33,"small"
"nback_miss_1","no self-reported CD_c1","no self-reported CD_c2",0.00371713855599881,0.0223028313359929,"nback_miss_1",0.563509693210423,8,19,"large"
"nback_miss_1","no self-reported CD_c1","self-reported CD_c2",1,1,"nback_miss_1",0,8,10,"small"
"nback_miss_1","self-reported CD_c1","no self-reported CD_c2",2.17673991405789e-06,1.30604394843473e-05,"nback_miss_1",0.658125761396877,33,19,"large"
"nback_miss_1","self-reported CD_c1","self-reported CD_c2",0.0916304318650049,0.549782591190029,"nback_miss_1",0.259442277386917,33,10,"small"
"nback_miss_1","no self-reported CD_c2","self-reported CD_c2",0.000891672966974232,0.00535003780184539,"nback_miss_1",0.621314965516977,19,10,"large"
"nback_miss_2","no self-reported CD_c1","self-reported CD_c1",0.960392536059116,1,"nback_miss_2",0.0103409934606868,8,33,"small"
"nback_miss_2","no self-reported CD_c1","no self-reported CD_c2",0.00334696450384668,0.0200817870230801,"nback_miss_2",0.569768720263682,8,19,"large"
"nback_miss_2","no self-reported CD_c1","self-reported CD_c2",0.0257119499213296,0.154271699527978,"nback_miss_2",0.536256972040863,8,10,"large"
"nback_miss_2","self-reported CD_c1","no self-reported CD_c2",1.84852961177025e-05,0.000110911776706215,"nback_miss_2",0.595190560850615,33,19,"large"
"nback_miss_2","self-reported CD_c1","self-reported CD_c2",0.00277406454306508,0.0166443872583905,"nback_miss_2",0.458437741772199,33,10,"moderate"
"nback_miss_2","no self-reported CD_c2","self-reported CD_c2",0.489903956492147,1,"nback_miss_2",0.132489348423408,19,10,"small"
"tmt_a_time","no self-reported CD_c1","self-reported CD_c1",0.58726052518838,1,"tmt_a_time",0.087341572641424,8,33,"small"
"tmt_a_time","no self-reported CD_c1","no self-reported CD_c2",0.0107861813657197,0.0647170881943185,"tmt_a_time",0.495772323841396,8,19,"moderate"
"tmt_a_time","no self-reported CD_c1","self-reported CD_c2",0.0455891561795801,0.273534937077481,"tmt_a_time",0.48168199453545,8,10,"moderate"
"tmt_a_time","self-reported CD_c1","no self-reported CD_c2",4.30688414047283e-07,2.5841304842837e-06,"tmt_a_time",0.702301715155942,33,19,"large"
"tmt_a_time","self-reported CD_c1","self-reported CD_c2",6.06305967970981e-05,0.000363783580782589,"tmt_a_time",0.613763591853252,33,10,"large"
"tmt_a_time","no self-reported CD_c2","self-reported CD_c2",0.280861191496659,1,"tmt_a_time",0.204512062729995,19,10,"small"
"tmt_b_time","no self-reported CD_c1","self-reported CD_c1",0.564812747506602,1,"tmt_b_time",0.0924793122085666,8,33,"small"
"tmt_b_time","no self-reported CD_c1","no self-reported CD_c2",0.059425846159223,0.356555076955338,"tmt_b_time",0.36788360369098,8,19,"moderate"
"tmt_b_time","no self-reported CD_c1","self-reported CD_c2",0.0831631489363108,0.498978893617865,"tmt_b_time",0.418853908291696,8,10,"moderate"
"tmt_b_time","self-reported CD_c1","no self-reported CD_c2",0.000328729559288572,0.00197237735573143,"tmt_b_time",0.499374613231638,33,19,"moderate"
"tmt_b_time","self-reported CD_c1","self-reported CD_c2",0.00529267243273355,0.0317560345964013,"tmt_b_time",0.427458639596261,33,10,"moderate"
"tmt_b_time","no self-reported CD_c2","self-reported CD_c2",0.872415533053114,1,"tmt_b_time",0.0340811458273844,19,10,"small"
"tmt_diff","no self-reported CD_c1","self-reported CD_c1",0.779761794633211,1,"tmt_diff",0.0462396561042833,8,33,"small"
"tmt_diff","no self-reported CD_c1","no self-reported CD_c2",0.541435696976865,1,"tmt_diff",0.122627867896993,8,19,"small"
"tmt_diff","no self-reported CD_c1","self-reported CD_c2",0.563574620260972,1,"tmt_diff",0.146598867902093,8,10,"small"
"tmt_diff","self-reported CD_c1","no self-reported CD_c2",0.196289855355359,1,"tmt_diff",0.180512722988745,33,19,"small"
"tmt_diff","self-reported CD_c1","self-reported CD_c2",0.190862105668501,1,"tmt_diff",0.201665180180354,33,10,"small"
"tmt_diff","no self-reported CD_c2","self-reported CD_c2",0.836420546822586,1,"tmt_diff",0.0426014322842305,19,10,"small"
