"Variable","Group1","Group2","p_value","p_adj_bonferroni",".y.","effsize","n1","n2","magnitude"
"pvt_reaction_time","self-reported CD_c1","no self-reported CD_c2",7.14839237934014e-06,0.000200154986621524,"pvt_reaction_time",0.796981157726499,13,19,"large"
"pvt_reaction_time","self-reported CD_c1","self-reported CD_c2",6.3310321154166e-05,0.00177268899231665,"pvt_reaction_time",0.840548475181792,13,10,"large"
"pvt_reaction_time","self-reported CD_c1","self-reported CD_c3",0.000331003393245769,0.00926809501088154,"pvt_reaction_time",0.709035257807281,13,13,"large"
"pvt_reaction_time","no self-reported CD_c2","self-reported CD_c4",0.000136026471734535,0.00380874120856698,"pvt_reaction_time",0.753907201435341,19,7,"large"
"pvt_reaction_time","self-reported CD_c2","self-reported CD_c4",0.000760305842872611,0.0212885636004331,"pvt_reaction_time",0.828416869579514,10,7,"large"
"pvt_reaction_time","self-reported CD_c3","self-reported CD_c4",0.00036256837749466,0.0101519145698505,"pvt_reaction_time",0.806225774829855,13,7,"large"
"nback_miss_1","self-reported CD_c1","no self-reported CD_c2",5.42083511458271e-05,0.00151783383208316,"nback_miss_1",0.717008785790469,13,19,"large"
"nback_miss_1","no self-reported CD_c2","self-reported CD_c2",0.000891672966974232,0.0249668430752785,"nback_miss_1",0.621314965516977,19,10,"large"
"nback_miss_1","no self-reported CD_c2","self-reported CD_c3",0.00163764486273561,0.045854056156597,"nback_miss_1",0.560105816478965,19,13,"large"
"nback_miss_1","no self-reported CD_c2","self-reported CD_c4",0.00032164818719683,0.00900614924151123,"nback_miss_1",0.711206555384884,19,7,"large"
"nback_miss_2","no self-reported CD_c2","self-reported CD_c3",0.000530199197202053,0.0148455775216575,"nback_miss_2",0.615937111199725,19,13,"large"
"nback_miss_2","no self-reported CD_c2","self-reported CD_c4",0.000260344190309058,0.00728963732865363,"nback_miss_2",0.721873412256611,19,7,"large"
"nback_miss_2","self-reported CD_c2","self-reported CD_c4",0.0014555612558273,0.0407557151631644,"nback_miss_2",0.783966309609778,10,7,"large"
"tmt_a_time","self-reported CD_c1","no self-reported CD_c2",0.000415073475563325,0.0116220573157731,"tmt_a_time",0.627468203855493,13,19,"large"
"tmt_a_time","no self-reported CD_c2","self-reported CD_c3",2.88131364831014e-05,0.000806767821526839,"tmt_a_time",0.74278668456407,19,13,"large"
"tmt_a_time","no self-reported CD_c2","self-reported CD_c4",0.000215343223215753,0.00602961025004109,"tmt_a_time",0.731358329845386,19,7,"large"
"tmt_a_time","self-reported CD_c2","self-reported CD_c3",0.000362473278164871,0.0101492517886164,"tmt_a_time",0.750027870162214,10,13,"large"
"tmt_a_time","self-reported CD_c2","self-reported CD_c4",0.000760305842872611,0.0212885636004331,"tmt_a_time",0.828416869579514,10,7,"large"
"tmt_b_time","self-reported CD_c1","self-reported CD_c4",0.000655743477955693,0.0183608173827594,"tmt_b_time",0.770787279232938,13,7,"large"
"tmt_b_time","no self-reported CD_c2","self-reported CD_c3",0.000169775763203332,0.00475372136969329,"tmt_b_time",0.668107608817533,19,13,"large"
"tmt_b_time","no self-reported CD_c2","self-reported CD_c4",0.000215880670824944,0.00604465878309843,"tmt_b_time",0.731233300640294,19,7,"large"
"tmt_b_time","self-reported CD_c2","self-reported CD_c3",0.000724999361230464,0.020299982114453,"tmt_b_time",0.711233325153824,10,13,"large"
"tmt_b_time","self-reported CD_c2","self-reported CD_c4",0.000760305842872611,0.0212885636004331,"tmt_b_time",0.828416869579514,10,7,"large"
"tmt_diff","self-reported CD_c1","self-reported CD_c4",0.000874087211298474,0.0244744419163573,"tmt_diff",0.75306803143448,13,7,"large"
