"Variable","Group1","Group2","p_value","p_adj_bonferroni",".y.","effsize","n1","n2","magnitude"
"facit_f_FS","no self-reported CD_c1","self-reported CD_c1",0.115559251710103,0.69335551026062,"facit_f_FS",0.251497663710794,8,32,"small"
"facit_f_FS","no self-reported CD_c1","no self-reported CD_c2",0.873106995581551,1,"facit_f_FS",0.0358596248615126,8,19,"small"
"facit_f_FS","no self-reported CD_c1","self-reported CD_c2",0.0452546936283409,0.271528161770045,"facit_f_FS",0.482429368133922,8,10,"moderate"
"facit_f_FS","self-reported CD_c1","no self-reported CD_c2",0.00185834106340167,0.01115004638041,"facit_f_FS",0.43713105955851,32,19,"moderate"
"facit_f_FS","self-reported CD_c1","self-reported CD_c2",0.375245084302064,1,"facit_f_FS",0.139099773386475,32,10,"small"
"facit_f_FS","no self-reported CD_c2","self-reported CD_c2",0.00241116571204434,0.014466994272266,"facit_f_FS",0.567718811439706,19,10,"large"
"hads_a_total_score","no self-reported CD_c1","self-reported CD_c1",0.598526068480693,1,"hads_a_total_score",0.0859358188926824,8,32,"small"
"hads_a_total_score","no self-reported CD_c1","no self-reported CD_c2",0.259064659568551,1,"hads_a_total_score",0.222371491016983,8,19,"small"
"hads_a_total_score","no self-reported CD_c1","self-reported CD_c2",0.372526877081197,1,"hads_a_total_score",0.220696897536238,8,10,"small"
"hads_a_total_score","self-reported CD_c1","no self-reported CD_c2",0.00255793947542981,0.0153476368525789,"hads_a_total_score",0.423752120802989,32,19,"moderate"
"hads_a_total_score","self-reported CD_c1","self-reported CD_c2",0.357401353302417,1,"hads_a_total_score",0.144300180786748,32,10,"small"
"hads_a_total_score","no self-reported CD_c2","self-reported CD_c2",0.00283637413864728,0.0170182448318837,"hads_a_total_score",0.558585561566232,19,10,"large"
"hads_d_total_score","no self-reported CD_c1","self-reported CD_c1",0.225095086859145,1,"hads_d_total_score",0.197193180445806,7,32,"small"
"hads_d_total_score","no self-reported CD_c1","no self-reported CD_c2",0.804690508956889,1,"hads_d_total_score",0.0556382985953034,7,18,"small"
"hads_d_total_score","no self-reported CD_c1","self-reported CD_c2",0.217944059629794,1,"hads_d_total_score",0.310759438426942,7,10,"moderate"
"hads_d_total_score","self-reported CD_c1","no self-reported CD_c2",0.0156434405485465,0.0938606432912788,"hads_d_total_score",0.343270041166994,32,18,"moderate"
"hads_d_total_score","self-reported CD_c1","self-reported CD_c2",0.823899390164254,1,"hads_d_total_score",0.036626674602447,32,10,"small"
"hads_d_total_score","no self-reported CD_c2","self-reported CD_c2",0.0116801131907582,0.0700806791445494,"hads_d_total_score",0.481131958953146,18,10,"moderate"
"psqi_total_score","no self-reported CD_c1","self-reported CD_c1",0.386781591623791,1,"psqi_total_score",0.154521806676734,7,26,"small"
"psqi_total_score","no self-reported CD_c1","no self-reported CD_c2",0.252298831048554,1,"psqi_total_score",0.251695819075952,7,15,"small"
"psqi_total_score","no self-reported CD_c1","self-reported CD_c2",0.167896769373703,1,"psqi_total_score",0.346399864405692,7,10,"moderate"
"psqi_total_score","self-reported CD_c1","no self-reported CD_c2",0.00533830936696035,0.0320298562017621,"psqi_total_score",0.437203265649425,26,15,"moderate"
"psqi_total_score","self-reported CD_c1","self-reported CD_c2",0.670051693398129,1,"psqi_total_score",0.0739717122686838,26,10,"small"
"psqi_total_score","no self-reported CD_c2","self-reported CD_c2",0.00174148832260002,0.0104489299356001,"psqi_total_score",0.631812616598594,15,10,"large"
